Provinsi,Tahun,Bulan,Pendapatan,Belanja
Aceh,2024,Desember,"40.734,54","42.316,60 "
Sumatra utara,2024,Desember,"65.750,12","67.492,25"
Sumatra Barat,2024,Desember,"28.235,77","29.765,06"
Riau,2024,Desember,"39.569,30 ","41.908,78 "
Jambi,2024,Desember,"19.885,52","21.070,35 "
Sumatra selatan,2024,Desember,"47.600,61","49.370,10"
Bengkulu,2024,Desember,"13.102,18","13.572,54"
Lampung,2024,Desember,"32.543,76","32.760,30 "
DKI Jakarta,2024,Desember,"72.446,38 ","72.601,00"
Jawa barat,2024,Desember,"141.193,70","148.174,14"
Jawa tengah,2024,Desember,"113.905,61","119.862,44"
DI yokyakarta,2024,Desember,"17.291,25","18.047,23"
Jawa timur,2024,Desember,"17.291,25","18.047,23"
Kalimantan barat,2024,Desember,"28.225,44","29.801,37"
Kalimantan tengah ,2024,Desember,"32.348,71 ","35.348,19"
Kalimanntan selatan,2024,Desember,"43.300,83","49.639,28"
Kalimantan timur,2024,Desember,"75.206,87","83.431,05"
Sulawesi utara,2024,Desember,"17.314,82","17.577,41"
Sulawesi temgah ,2024,Desember,"25.085,21","26.671,49 "
Sulaewesi selatan,2024,Desember,"47.095,89","48.338,47"
Sulawesi tengara,2024,Desember,"24.521,67","25.560,73"
Bali,2024,Desember,"35.052,03","37.486,41"
Nusa tenggara barat,2024,Desember,"25.054,38","25.161,86"
Nusa tennggara timur,2024,Desember,"29.687,23","30.069,03"
Maluku,2024,Desember,"14.376,74 ","14.678,03"
Papua,2024,Desember,"13.397,59","13.792,33"
Maluku utara,2024,Desember,"20.177,98","20.988,94"
Banten,2024,Desember,"42.686,08 ","43.994,62"
Bangka belitung,2024,Desember,"9.424,77 ","10.598,03"
Gorontalo,2024,Desember,"8.023,62","8.031,20"
Kepulaluan riau,2024,Desember,"14.806,63","15.423,74"
Papua barat,2024,Desember,"15.022,97","16.068,34"
Sulawesi barat,2024,Desember,"8.065,56","8.227,97"
Kaliamntan utara,2024,Desember,"11.215,64","13.260,89"
Papua selatan,2024,Desember,"8.842,53","9.406,20"
Papua tengah,2024,Desember,"21.280,45","23.140,99"
Papua pegunungan,2024,Desember,"14.781,52 ","15.162,38"
Papua barat daya,2024,Desember,"1.952,06","1.996,73"
